year,month,calendar_month_end,broilers_usd_per_lb,turkeys_usd_per_lb
2016,January,2016-01-31,0.5,0.789
2016,February,2016-02-29,0.46,0.794
2016,March,2016-03-31,0.48,0.789
2016,April,2016-04-30,0.51,0.832
2016,May,2016-05-31,0.56,0.831
2016,June,2016-06-30,0.57,0.865
2016,July,2016-07-31,0.51,0.866
2016,August,2016-08-31,0.44,0.843
2016,September,2016-09-30,0.42,0.878
2016,October,2016-10-31,0.37,0.852
2016,November,2016-11-30,0.44,0.815
2016,December,2016-12-31,0.48,0.744
2017,January,2017-01-31,0.49,0.689
2017,February,2017-02-28,0.48,0.672
2017,March,2017-03-31,0.55,0.69
2017,April,2017-04-30,0.57,0.666
2017,May,2017-05-31,0.66,0.686
2017,June,2017-06-30,0.66,0.658
2017,July,2017-07-31,0.62,0.678
2017,August,2017-08-31,0.54,0.647
2017,September,2017-09-30,0.51,0.623
2017,October,2017-10-31,0.48,0.627
2017,November,2017-11-30,0.49,0.577
2017,December,2017-12-31,0.5,0.529
2018,January,2018-01-31,0.53,0.508
2018,February,2018-02-28,0.52,0.506
2018,March,2018-03-31,0.6,0.499
2018,April,2018-04-30,0.65,0.5
2018,May,2018-05-31,0.72,0.498
2018,June,2018-06-30,0.73,0.508
2018,July,2018-07-31,0.67,0.519
2018,August,2018-08-31,0.49,0.517
2018,September,2018-09-30,0.46,0.531
2018,October,2018-10-31,0.46,0.511
2018,November,2018-11-30,0.49,0.53
2018,December,2018-12-31,0.51,0.498
2019,January,2019-01-31,0.56,0.509
2019,February,2019-02-28,0.49,0.528
2019,March,2019-03-31,0.51,0.532
2019,April,2019-04-30,0.55,0.556
2019,May,2019-05-31,0.57,0.533
2019,June,2019-06-30,0.54,0.561
2019,July,2019-07-31,0.487,0.576
2019,August,2019-08-31,0.421,0.592
2019,September,2019-09-30,0.391,0.622
2019,October,2019-10-31,0.41,0.639
2019,November,2019-11-30,0.403,0.671
2019,December,2019-12-31,0.449,0.624
2020,January,2020-01-31,0.494,0.625
2020,February,2020-02-29,0.419,0.644
2020,March,2020-03-31,0.43,0.664
2020,April,2020-04-30,0.226,0.677
2020,May,2020-05-31,0.345,0.701
2020,June,2020-06-30,0.366,0.714
2020,July,2020-07-31,0.345,0.737
2020,August,2020-08-31,0.309,0.735
2020,September,2020-09-30,0.292,0.776
2020,October,2020-10-31,0.315,0.784
2020,November,2020-11-30,0.391,0.734
2020,December,2020-12-31,0.43,0.721
2021,January,2021-01-31,0.417,0.707
2021,February,2021-02-28,0.423,0.721
2021,March,2021-03-31,0.431,0.739
2021,April,2021-04-30,0.548,0.768
2021,May,2021-05-31,0.593,0.801
2021,June,2021-06-30,0.6,0.831
2021,July,2021-07-31,0.593,0.833
2021,August,2021-08-31,0.587,0.878
2021,September,2021-09-30,0.595,0.961
2021,October,2021-10-31,0.578,0.94
2021,November,2021-11-30,0.592,0.839
2021,December,2021-12-31,0.735,0.839
2022,January,2022-01-31,0.78,0.859
2022,February,2022-02-28,0.739,0.89
2022,March,2022-03-31,0.885,0.92
2022,April,2022-04-30,1.037,0.945
2022,May,2022-05-31,1.069,0.986
2022,June,2022-06-30,1.045,1.05
2022,July,2022-07-31,0.963,1.09
2022,August,2022-08-31,0.78,1.11
2022,September,2022-09-30,0.733,1.2
2022,October,2022-10-31,0.711,1.27
2022,November,2022-11-30,0.729,1.27
2022,December,2022-12-31,0.726,1.22
2023,January,2023-01-31,0.69,1.2
2023,February,2023-02-28,0.693,1.17
2023,March,2023-03-31,0.755,1.18
2023,April,2023-04-30,0.831,1.16
2023,May,2023-05-31,0.849,1.06
2023,June,2023-06-30,0.806,1.02
2023,July,2023-07-31,0.67,0.96
2023,August,2023-08-31,0.607,0.84
2023,September,2023-09-30,0.649,0.82
2023,October,2023-10-31,0.634,0.75
2023,November,2023-11-30,0.65,0.652
2023,December,2023-12-31,0.722,0.471
2024,January,2024-01-31,0.735,0.533
2024,February,2024-02-29,0.719,0.575
2024,March,2024-03-31,0.744,0.576
2024,April,2024-04-30,0.768,0.558
2024,May,2024-05-31,0.765,0.585
2024,June,2024-06-30,0.76,0.564
2024,July,2024-07-31,0.759,0.536
2024,August,2024-08-31,0.712,0.528
2024,September,2024-09-30,0.727,0.588
2024,October,2024-10-31,0.741,0.603
2024,November,2024-11-30,0.741,0.572
2024,December,2024-12-31,0.76,0.516
2025,January,2025-01-31,0.774,0.511
2025,February,2025-02-28,0.726,0.546
2025,March,2025-03-31,0.763,0.683
2025,April,2025-04-30,0.791,0.734
2025,May,2025-05-31,0.789,0.786
2025,June,2025-06-30,0.801,0.821
2025,July,2025-07-31,0.759,1.013
2025,August,2025-08-31,0.667,1.063
2025,September,2025-09-30,0.639,1.081
2025,October,2025-10-31,0.582,1.15
2025,November,2025-11-30,0.588,1.179
2025,December,2025-12-31,0.646,1.208
2026,January,2026-01-31,0.677,1.187
2026,February,2026-02-28,0.663,1.154
2026,March,2026-03-31,0.672,1.154
