month,ticker,brand,slug,gdelt_article_count,gdelt_total_article_count,gdelt_article_share_per_100k,gdelt_avg_tone
2024-01,BROS,Dutch Bros,dutch_bros,71,4533092,1.5663,
2024-02,BROS,Dutch Bros,dutch_bros,78,4838115,1.6122,
2024-03,BROS,Dutch Bros,dutch_bros,99,5249864,1.8858,
2024-04,BROS,Dutch Bros,dutch_bros,91,5210629,1.7464,
2024-05,BROS,Dutch Bros,dutch_bros,78,4867540,1.6025,
2024-06,BROS,Dutch Bros,dutch_bros,71,5148514,1.379,
2024-07,BROS,Dutch Bros,dutch_bros,75,5164525,1.4522,
2024-08,BROS,Dutch Bros,dutch_bros,103,4786415,2.1519,
2024-09,BROS,Dutch Bros,dutch_bros,86,5204163,1.6525,
2024-10,BROS,Dutch Bros,dutch_bros,52,4998022,1.0404,
2024-11,BROS,Dutch Bros,dutch_bros,60,4906940,1.2228,
2024-12,BROS,Dutch Bros,dutch_bros,77,4870266,1.581,
2025-01,BROS,Dutch Bros,dutch_bros,51,4598730,1.109,
2025-02,BROS,Dutch Bros,dutch_bros,112,4331473,2.5857,
2025-03,BROS,Dutch Bros,dutch_bros,78,4846955,1.6093,
2025-04,BROS,Dutch Bros,dutch_bros,200,4883034,4.0958,
2025-05,BROS,Dutch Bros,dutch_bros,236,4822102,4.8941,
2025-06,BROS,Dutch Bros,dutch_bros,46,2296682,2.0029,
2025-07,BROS,Dutch Bros,dutch_bros,151,4989781,3.0262,
2025-08,BROS,Dutch Bros,dutch_bros,122,5070617,2.406,
2025-09,BROS,Dutch Bros,dutch_bros,139,5004004,2.7778,
2025-10,BROS,Dutch Bros,dutch_bros,107,5146828,2.079,
2025-11,BROS,Dutch Bros,dutch_bros,102,4954323,2.0588,
2025-12,BROS,Dutch Bros,dutch_bros,89,5074877,1.7537,
2026-01,BROS,Dutch Bros,dutch_bros,150,4681462,3.2041,
2026-02,BROS,Dutch Bros,dutch_bros,79,3511714,2.2496,
2026-03,BROS,Dutch Bros,dutch_bros,67,4643449,1.4429,
2026-04,BROS,Dutch Bros,dutch_bros,118,4467322,2.6414,
2026-05,BROS,Dutch Bros,dutch_bros,66,1503018,4.3912,
2024-01,CAVA,CAVA,cava,29,4533092,0.6397,
2024-02,CAVA,CAVA,cava,29,4838115,0.5994,
2024-03,CAVA,CAVA,cava,16,5249864,0.3048,
2024-04,CAVA,CAVA,cava,28,5210629,0.5374,
2024-05,CAVA,CAVA,cava,28,4867540,0.5752,
2024-06,CAVA,CAVA,cava,59,5148514,1.146,
2024-07,CAVA,CAVA,cava,34,5164525,0.6583,
2024-08,CAVA,CAVA,cava,75,4786415,1.5669,
2024-09,CAVA,CAVA,cava,29,5204163,0.5572,
2024-10,CAVA,CAVA,cava,10,4998022,0.2001,
2024-11,CAVA,CAVA,cava,22,4906940,0.4483,
2024-12,CAVA,CAVA,cava,13,4870266,0.2669,
2025-01,CAVA,CAVA,cava,22,4598730,0.4784,
2025-02,CAVA,CAVA,cava,21,4331473,0.4848,
2025-03,CAVA,CAVA,cava,29,4846955,0.5983,
2025-04,CAVA,CAVA,cava,25,4883034,0.512,
2025-05,CAVA,CAVA,cava,24,4822102,0.4977,
2025-06,CAVA,CAVA,cava,2,2296682,0.0871,
2025-07,CAVA,CAVA,cava,18,4989781,0.3607,
2025-08,CAVA,CAVA,cava,68,5070617,1.3411,
2025-09,CAVA,CAVA,cava,14,5004004,0.2798,
2025-10,CAVA,CAVA,cava,5,5146828,0.0971,
2025-11,CAVA,CAVA,cava,69,4954323,1.3927,
2025-12,CAVA,CAVA,cava,67,5074877,1.3202,
2026-01,CAVA,CAVA,cava,20,4681462,0.4272,
2026-02,CAVA,CAVA,cava,54,3511714,1.5377,
2026-03,CAVA,CAVA,cava,24,4643449,0.5169,
2026-04,CAVA,CAVA,cava,23,4467322,0.5148,
2026-05,CAVA,CAVA,cava,10,1503018,0.6653,
2024-01,CMG,Chipotle,chipotle,676,4533092,14.9126,
2024-02,CMG,Chipotle,chipotle,828,4838115,17.1141,
2024-03,CMG,Chipotle,chipotle,781,5249864,14.8766,
2024-04,CMG,Chipotle,chipotle,1032,5210629,19.8057,
2024-05,CMG,Chipotle,chipotle,950,4867540,19.517,
2024-06,CMG,Chipotle,chipotle,945,5148514,18.3548,
2024-07,CMG,Chipotle,chipotle,1132,5164525,21.9188,
2024-08,CMG,Chipotle,chipotle,1323,4786415,27.6407,
2024-09,CMG,Chipotle,chipotle,989,5204163,19.004,
2024-10,CMG,Chipotle,chipotle,1166,4998022,23.3292,
2024-11,CMG,Chipotle,chipotle,998,4906940,20.3385,
2024-12,CMG,Chipotle,chipotle,681,4870266,13.9828,
2025-01,CMG,Chipotle,chipotle,538,4598730,11.6989,
2025-02,CMG,Chipotle,chipotle,791,4331473,18.2617,
2025-03,CMG,Chipotle,chipotle,655,4846955,13.5136,
2025-04,CMG,Chipotle,chipotle,818,4883034,16.7519,
2025-05,CMG,Chipotle,chipotle,813,4822102,16.8599,
2025-06,CMG,Chipotle,chipotle,298,2296682,12.9752,
2025-07,CMG,Chipotle,chipotle,1012,4989781,20.2815,
2025-08,CMG,Chipotle,chipotle,840,5070617,16.566,
2025-09,CMG,Chipotle,chipotle,709,5004004,14.1687,
2025-10,CMG,Chipotle,chipotle,529,5146828,10.2782,
2025-11,CMG,Chipotle,chipotle,743,4954323,14.997,
2025-12,CMG,Chipotle,chipotle,1034,5074877,20.3749,
2026-01,CMG,Chipotle,chipotle,625,4681462,13.3505,
2026-02,CMG,Chipotle,chipotle,408,3511714,11.6183,
2026-03,CMG,Chipotle,chipotle,442,4643449,9.5188,
2026-04,CMG,Chipotle,chipotle,466,4467322,10.4313,
2026-05,CMG,Chipotle,chipotle,199,1503018,13.24,
2024-01,SG,Sweetgreen,sweetgreen,32,4533092,0.7059,
2024-02,SG,Sweetgreen,sweetgreen,51,4838115,1.0541,
2024-03,SG,Sweetgreen,sweetgreen,41,5249864,0.781,
2024-04,SG,Sweetgreen,sweetgreen,35,5210629,0.6717,
