month_end,mta_manhattan_subway_entries_monthly_sum
2017-01-31,47204635.0
2017-02-28,71255565.0
2017-03-31,83178219.0
2017-04-30,79122581.0
2017-05-31,83921492.0
2017-06-30,82257924.0
2017-07-31,75502459.0
2017-08-31,78062859.0
2017-09-30,77961096.0
2017-10-31,84401838.0
2017-11-30,79727278.0
2017-12-31,77568878.0
2018-01-31,74403761.0
2018-02-28,70283253.0
2018-03-31,79321974.0
2018-04-30,78895088.0
2018-05-31,82543214.0
2018-06-30,78882679.0
2018-07-31,75511586.0
2018-08-31,75845780.0
2018-09-30,74653599.0
2018-10-31,86034139.0
2018-11-30,78638501.0
2018-12-31,76534937.0
2019-01-31,74868508.0
2019-02-28,70641493.0
2019-03-31,80229565.0
2019-04-30,81567778.0
2019-05-31,83851980.0
2019-06-30,79032661.0
2019-07-31,77958381.0
2019-08-31,76025515.0
2019-09-30,79131406.0
2019-10-31,87092034.0
2019-11-30,78692236.0
2019-12-31,79023943.0
2020-01-31,77001948.0
2020-02-29,72918511.0
2020-03-31,37671961.0
2020-04-30,4698951.0
2020-05-31,5995205.0
2020-06-30,10018614.0
2020-07-31,14376725.0
2020-08-31,15900377.0
2020-09-30,19403770.0
2020-10-31,22178429.0
2020-11-30,19961448.0
2020-12-31,19943996.0
2021-01-31,18655155.0
2021-02-28,17855642.0
2021-03-31,23507275.0
2021-04-30,25034354.0
2021-05-31,28249150.0
2021-06-30,32936934.0
2021-07-31,34228208.0
2021-08-31,33719663.0
2021-09-30,37966410.0
2021-10-31,43391479.0
2021-11-30,43678094.0
2021-12-31,41753793.0
2022-01-31,31892964.0
2022-02-28,36342117.0
2022-03-31,45980403.0
2022-04-30,44848277.0
2022-05-31,46857748.0
2022-06-30,47632009.0
2022-07-31,43972967.0
2022-08-31,45395112.0
2022-09-30,49787621.0
2022-10-31,52550764.0
2022-11-30,50136439.0
2022-12-31,51577672.0
2023-01-31,48433721.0
2023-02-28,46039602.0
2023-03-31,55158408.0
2023-04-30,52362965.0
2023-05-31,57246256.0
2023-06-30,53972433.0
2023-07-31,51017496.0
2023-08-31,52408757.0
2023-09-30,53277105.0
2023-10-31,58735805.0
2023-11-30,55711284.0
2023-12-31,55917241.0
2024-01-31,51337480.0
2024-02-29,50898060.0
2024-03-31,56293866.0
2024-04-30,56341808.0
2024-05-31,59675046.0
2024-06-30,54759074.0
2024-07-31,54120332.0
2024-08-31,53021689.0
2024-09-30,58165573.0
2024-10-31,64663161.0
2024-11-30,58251322.0
2024-12-31,60193085.0
2025-01-31,55474882.0
2025-02-28,52658761.0
2025-03-31,60481931.0
2025-04-30,62145151.0
2025-05-31,63591343.0
2025-06-30,59903092.0
2025-07-31,60202209.0
2025-08-31,57366739.0
2025-09-30,62005945.0
2025-10-31,66132914.0
2025-11-30,61000328.0
2025-12-31,64498815.0
2026-01-31,56607186.0
2026-02-28,53414002.0
2026-03-31,64558419.0
2026-04-30,59957123.0
