month_end,opentable_us_seated_diners_online_reservations_yoy_pct,opentable_fast_casual_exposed_city_index_yoy_pct,fast_casual_exposed_city_count,opentable_period_end,source,source_page
2024-01-31,-1.7,-2.1,19,2024-01-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-02-29,3.89,2.03,19,2024-02-29,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-03-31,7.19,4.0,19,2024-03-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-04-30,0.49,0.78,19,2024-04-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-05-31,5.08,3.57,19,2024-05-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-06-30,3.06,2.69,19,2024-06-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-07-31,0.07,-2.05,19,2024-07-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-08-31,3.4,2.38,19,2024-08-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-09-30,5.08,3.98,19,2024-09-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-10-31,3.54,4.37,19,2024-10-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-11-30,6.83,8.49,19,2024-11-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2024-12-31,7.54,9.75,19,2024-12-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-01-31,6.22,5.9,19,2025-01-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-02-28,4.36,7.89,19,2025-02-28,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-03-31,3.66,6.79,19,2025-03-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-04-30,10.23,11.17,19,2025-04-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-05-31,9.0,10.74,19,2025-05-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-06-30,9.48,9.92,19,2025-06-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-07-31,9.85,10.95,19,2025-07-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-08-31,10.8,11.2,19,2025-08-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-09-30,8.53,8.3,19,2025-09-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-10-31,9.23,9.47,19,2025-10-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-11-30,10.36,9.48,19,2025-11-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2025-12-31,7.86,8.46,19,2025-12-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2026-01-31,8.05,5.27,19,2026-01-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2026-02-28,12.05,9.67,19,2026-02-28,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2026-03-31,10.56,8.87,19,2026-03-31,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2026-04-30,12.12,10.56,19,2026-04-30,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
2026-05-31,12.36,10.0,19,2026-05-09,OpenTable State of the Restaurant Industry,https://www.opentable.com/c/state-of-industry/#seated-diners-chart
