month,bros_gdelt_article_count,cava_gdelt_article_count,cmg_gdelt_article_count,sg_gdelt_article_count,shak_gdelt_article_count,wing_gdelt_article_count,bros_gdelt_article_share_per_100k,cava_gdelt_article_share_per_100k,cmg_gdelt_article_share_per_100k,sg_gdelt_article_share_per_100k,shak_gdelt_article_share_per_100k,wing_gdelt_article_share_per_100k,bros_gdelt_avg_tone,cava_gdelt_avg_tone,cmg_gdelt_avg_tone,sg_gdelt_avg_tone,shak_gdelt_avg_tone,wing_gdelt_avg_tone,bros_gdelt_article_count_yoy_pct,cava_gdelt_article_count_yoy_pct,cmg_gdelt_article_count_yoy_pct,sg_gdelt_article_count_yoy_pct,shak_gdelt_article_count_yoy_pct,wing_gdelt_article_count_yoy_pct,bros_gdelt_article_share_per_100k_yoy_pct,cava_gdelt_article_share_per_100k_yoy_pct,cmg_gdelt_article_share_per_100k_yoy_pct,sg_gdelt_article_share_per_100k_yoy_pct,shak_gdelt_article_share_per_100k_yoy_pct,wing_gdelt_article_share_per_100k_yoy_pct
2024-01,71,29,676,32,72,53,1.5663,0.6397,14.9126,0.7059,1.5883,1.1692,,,,,,,,,,,,,,,,,,
2024-02,78,29,828,51,173,103,1.6122,0.5994,17.1141,1.0541,3.5758,2.1289,,,,,,,,,,,,,,,,,,
2024-03,99,16,781,41,146,63,1.8858,0.3048,14.8766,0.781,2.781,1.2,,,,,,,,,,,,,,,,,,
2024-04,91,28,1032,35,371,92,1.7464,0.5374,19.8057,0.6717,7.1201,1.7656,,,,,,,,,,,,,,,,,,
2024-05,78,28,950,105,145,105,1.6025,0.5752,19.517,2.1571,2.9789,2.1571,,,,,,,,,,,,,,,,,,
2024-06,71,59,945,106,101,91,1.379,1.146,18.3548,2.0588,1.9617,1.7675,,,,,,,,,,,,,,,,,,
2024-07,75,34,1132,49,108,102,1.4522,0.6583,21.9188,0.9488,2.0912,1.975,,,,,,,,,,,,,,,,,,
2024-08,103,75,1323,85,504,70,2.1519,1.5669,27.6407,1.7759,10.5298,1.4625,,,,,,,,,,,,,,,,,,
2024-09,86,29,989,48,298,50,1.6525,0.5572,19.004,0.9223,5.7262,0.9608,,,,,,,,,,,,,,,,,,
2024-10,52,10,1166,59,582,462,1.0404,0.2001,23.3292,1.1805,11.6446,9.2437,,,,,,,,,,,,,,,,,,
2024-11,60,22,998,52,396,60,1.2228,0.4483,20.3385,1.0597,8.0702,1.2228,,,,,,,,,,,,,,,,,,
2024-12,77,13,681,56,108,78,1.581,0.2669,13.9828,1.1498,2.2175,1.6016,,,,,,,,,,,,,,,,,,
2025-01,51,22,538,58,430,44,1.109,0.4784,11.6989,1.2612,9.3504,0.9568,,,,,,,-28.17,-24.14,-20.41,81.25,497.22,-16.98,-29.2,-25.21,-21.55,78.67,488.7,-18.17
2025-02,112,21,791,27,174,123,2.5857,0.4848,18.2617,0.6233,4.0171,2.8397,,,,,,,43.59,-27.59,-4.47,-47.06,0.58,19.42,60.38,-19.12,6.71,-40.87,12.34,33.39
2025-03,78,29,655,88,105,91,1.6093,0.5983,13.5136,1.8156,2.1663,1.8775,,,,,,,-21.21,81.25,-16.13,114.63,-28.08,44.44,-14.66,96.29,-9.16,132.47,-22.1,56.46
2025-04,200,25,818,41,435,99,4.0958,0.512,16.7519,0.8396,8.9084,2.0274,,,,,,,119.78,-10.71,-20.74,17.14,17.25,7.61,134.53,-4.73,-15.42,25.0,25.12,14.83
2025-05,236,24,813,74,357,72,4.8941,0.4977,16.8599,1.5346,7.4034,1.4931,,,,,,,202.56,-14.29,-14.42,-29.52,146.21,-31.43,205.4,-13.47,-13.61,-28.86,148.53,-30.78
2025-06,46,2,298,15,132,28,2.0029,0.0871,12.9752,0.6531,5.7474,1.2192,,,,,,,-35.21,-96.61,-68.47,-85.85,30.69,-69.23,45.24,-92.4,-29.31,-68.28,192.98,-31.02
2025-07,151,18,1012,36,855,108,3.0262,0.3607,20.2815,0.7215,17.135,2.1644,,,,,,,101.33,-47.06,-10.6,-26.53,691.67,5.88,108.39,-45.21,-7.47,-23.96,719.39,9.59
2025-08,122,68,840,77,426,139,2.406,1.3411,16.566,1.5186,8.4013,2.7413,,,,,,,18.45,-9.33,-36.51,-9.41,-15.48,98.57,11.81,-14.41,-40.07,-14.49,-20.21,87.44
2025-09,139,14,709,51,111,76,2.7778,0.2798,14.1687,1.0192,2.2182,1.5188,,,,,,,61.63,-51.72,-28.31,6.25,-62.75,52.0,68.1,-49.78,-25.44,10.51,-61.26,58.08
2025-10,107,5,529,46,164,66,2.079,0.0971,10.2782,0.8938,3.1864,1.2823,,,,,,,105.77,-50.0,-54.63,-22.03,-71.82,-85.71,99.83,-51.47,-55.94,-24.29,-72.64,-86.13
2025-11,102,69,743,112,497,105,2.0588,1.3927,14.997,2.2607,10.0316,2.1194,,,,,,,70.0,213.64,-25.55,115.38,25.51,75.0,68.37,210.66,-26.26,113.33,24.3,73.32
2025-12,89,67,1034,92,120,59,1.7537,1.3202,20.3749,1.8129,2.3646,1.1626,,,,,,,15.58,415.38,51.84,64.29,11.11,-24.36,10.92,394.64,45.71,57.67,6.63,-27.41
2026-01,150,20,625,49,120,58,3.2041,0.4272,13.3505,1.0467,2.5633,1.2389,,,,,,,194.12,-9.09,16.17,-15.52,-72.09,31.82,188.92,-10.7,14.12,-17.01,-72.59,29.48
2026-02,79,54,408,41,58,70,2.2496,1.5377,11.6183,1.1675,1.6516,1.9933,,,,,,,-29.46,157.14,-48.42,51.85,-66.67,-43.09,-13.0,217.18,-36.38,87.31,-58.89,-29.81
2026-03,67,24,442,41,93,53,1.4429,0.5169,9.5188,0.883,2.0028,1.1414,,,,,,,-14.1,-17.24,-32.52,-53.41,-11.43,-41.76,-10.34,-13.61,-29.56,-51.37,-7.55,-39.21
2026-04,118,23,466,34,143,79,2.6414,0.5148,10.4313,0.7611,3.201,1.7684,,,,,,,-41.0,-8.0,-43.03,-17.07,-67.13,-20.2,-35.51,0.55,-37.73,-9.35,-64.07,-12.77
2026-05,66,10,199,18,114,41,4.3912,0.6653,13.24,1.1976,7.5847,2.7278,,,,,,,-72.03,-58.33,-75.52,-75.68,-68.07,-43.06,-10.28,33.67,-21.47,-21.96,2.45,82.69
