month,chipotle,sweetgreen,cava,jersey_mikes_subs,shake_shack,panera_bread,recipe,food_near_me,fast_casual,restaurants_near_me,healthy_fast_food,microwavable_meals,weight_loss,glp1,how_to_lose_weight,healthy_food,salad_near_me,takeout,delivery,meal_prep,cheap_eats,dollar_menu,mcdonalds,fast_casual_index,chipotle_yoy_pct,sweetgreen_yoy_pct,cava_yoy_pct,jersey_mikes_subs_yoy_pct,shake_shack_yoy_pct,panera_bread_yoy_pct,recipe_yoy_pct,food_near_me_yoy_pct,fast_casual_yoy_pct,restaurants_near_me_yoy_pct,healthy_fast_food_yoy_pct,microwavable_meals_yoy_pct,weight_loss_yoy_pct,glp1_yoy_pct,how_to_lose_weight_yoy_pct,healthy_food_yoy_pct,salad_near_me_yoy_pct,takeout_yoy_pct,delivery_yoy_pct,meal_prep_yoy_pct,cheap_eats_yoy_pct,dollar_menu_yoy_pct,mcdonalds_yoy_pct,fast_casual_index_yoy_chg
2021-05,67.2,45.5,22.8,79.0,75.2,94.8,32.5,87.0,9.8,85.2,59.2,39.2,58.5,1.0,49.0,58.8,19.5,62.8,83.8,36.5,20.2,76.8,36.8,0.668,,,,,,,,,,,,,,,,,,,,,,,,
2021-06,65.2,55.5,25.2,81.8,72.8,94.8,33.2,94.0,11.2,94.2,61.0,24.0,59.2,1.0,49.0,59.2,22.0,67.8,84.2,35.5,24.2,73.0,37.2,0.851,,,,,,,,,,,,,,,,,,,,,,,,
2021-07,68.8,50.2,25.2,76.8,72.0,91.8,34.5,98.8,12.0,95.5,57.8,33.8,56.0,1.0,47.0,58.2,21.2,71.5,83.2,36.5,25.2,74.0,36.0,0.839,,,,,,,,,,,,,,,,,,,,,,,,
2021-08,59.4,51.6,24.8,62.0,62.4,89.6,35.2,94.2,9.6,84.2,51.8,39.8,50.6,0.8,38.8,54.8,19.6,67.6,82.0,39.0,22.0,73.0,35.2,0.424,,,,,,,,,,,,,,,,,,,,,,,,
2021-09,61.2,50.2,26.2,70.0,57.2,90.2,34.8,86.0,10.5,78.2,51.0,30.0,50.0,1.0,35.2,51.8,17.8,59.5,79.8,38.8,20.5,63.0,31.8,0.216,,,,,,,,,,,,,,,,,,,,,,,,
2021-10,68.8,53.2,25.8,75.6,58.4,92.8,39.2,83.4,11.4,69.4,45.6,40.8,47.8,1.0,31.0,48.4,16.2,55.8,78.6,34.4,19.8,61.4,30.4,0.219,,,,,,,,,,,,,,,,,,,,,,,,
2021-11,58.5,65.5,26.8,70.2,61.8,84.8,52.0,80.5,10.0,64.8,41.8,38.5,46.2,0.8,30.2,40.2,14.5,56.2,78.8,31.0,17.8,62.2,32.0,0.037,,,,,,,,,,,,,,,,,,,,,,,,
2021-12,64.5,45.0,29.5,67.2,73.8,90.8,58.0,86.0,9.0,71.0,36.0,38.5,44.5,1.0,29.5,40.2,16.0,59.2,90.2,30.8,16.2,68.8,36.8,0.152,,,,,,,,,,,,,,,,,,,,,,,,
2022-01,61.2,52.4,26.0,63.4,55.2,77.6,49.8,63.2,9.4,50.6,51.0,42.8,56.6,1.0,41.2,56.0,14.8,52.6,84.0,51.6,17.8,63.2,32.0,-0.28,,,,,,,,,,,,,,,,,,,,,,,,
2022-02,59.5,54.5,32.5,65.8,68.5,72.2,43.2,70.8,12.5,66.5,51.2,58.2,59.0,1.0,43.0,60.8,16.2,55.0,83.8,45.0,21.8,65.5,36.8,0.074,,,,,,,,,,,,,,,,,,,,,,,,
2022-03,61.8,60.5,34.0,75.8,61.8,73.5,39.0,75.2,13.8,67.8,53.8,33.5,60.2,1.0,44.0,60.5,16.8,49.8,73.8,46.5,25.2,60.0,39.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
2022-04,60.0,62.0,39.5,69.0,63.5,75.0,38.8,72.2,14.8,65.0,55.2,33.2,56.8,1.0,43.2,58.5,16.8,54.2,71.8,42.2,23.2,63.5,38.2,0.143,,,,,,,,,,,,,,,,,,,,,,,,
2022-05,58.6,64.4,36.2,74.2,63.8,75.4,36.8,75.8,12.6,65.4,50.0,50.0,56.4,1.0,42.6,57.4,18.6,51.4,73.4,36.2,23.6,63.8,43.0,0.188,-12.8,41.54,58.77,-6.08,-15.16,-20.46,13.23,-12.87,28.57,-23.24,-15.54,27.55,-3.59,0.0,-13.06,-2.38,-4.62,-18.15,-12.41,-0.82,16.83,-16.93,16.85,-0.48
2022-06,60.2,71.8,38.0,76.2,67.0,72.8,40.5,81.8,14.2,69.2,53.8,18.8,60.8,1.0,43.8,59.2,20.0,51.8,73.2,36.0,29.0,66.0,48.2,0.391,-7.67,29.37,50.79,-6.85,-7.97,-23.21,21.99,-12.98,26.79,-26.54,-11.8,-21.67,2.7,0.0,-10.61,0.0,-9.09,-23.6,-13.06,1.41,19.83,-9.59,29.57,-0.46
2022-07,60.4,65.4,39.0,77.2,64.6,70.0,43.2,83.6,13.2,73.6,51.0,43.8,58.8,1.0,44.0,56.4,20.6,53.4,71.6,41.8,29.8,64.2,48.6,0.277,-12.21,30.28,54.76,0.52,-10.28,-23.75,25.22,-15.38,10.0,-22.93,-11.76,29.59,5.0,0.0,-6.38,-3.09,-2.83,-25.31,-13.94,14.52,18.25,-13.24,35.0,-0.562
2022-08,60.5,65.5,38.5,66.8,56.8,65.0,40.5,75.0,13.5,64.2,47.5,60.5,55.0,1.0,38.2,52.0,17.8,49.0,68.8,45.5,27.8,59.5,45.5,-0.035,1.85,26.94,55.24,7.74,-8.97,-27.46,15.06,-20.38,40.63,-23.75,-8.3,52.01,8.7,25.0,-1.55,-5.11,-9.18,-27.51,-16.1,16.67,26.36,-18.49,29.26,-0.459
